#{"t_start": 1771441619.175136, "env_id": "None"}
r,l,t
40.192848,37,1.120114
46.915911,60,1.140051
40.595546,41,1.259551
36.678582,31,1.27011
47.985156,60,1.289709
48.343402,50,1.355435
38.537308,33,1.365409
37.997446,32,1.37466
35.401931,27,1.383249
36.20861,30,1.438592
39.548282,35,1.449019
39.345812,36,1.460436
38.525395,32,1.470259
38.228183,34,1.527646
31.389425,20,1.534867
32.13548,22,1.541862
30.247353,17,1.547177
35.602587,28,1.555988
31.869683,20,1.610315
36.128097,27,1.619136
28.719709,15,1.624323
36.707393,27,1.633052
38.791492,32,1.643219
29.032886,16,1.648656
38.074553,30,1.716106
29.76439,15,1.720945
29.162025,14,1.72587
31.815368,20,1.732995
32.366337,24,1.740559
30.038462,15,1.745516
32.125667,19,1.801521
29.927536,16,1.806929
32.758937,24,1.81607
28.283782,13,1.820898
26.64055,10,1.824574
32.281107,23,1.832872
31.304161,21,1.840496
28.097997,13,1.845588
28.761142,13,1.907325
27.019797,11,1.910907
28.232579,12,1.914901
29.597084,17,1.920911
28.662994,15,1.926518
28.906984,14,1.931496
28.266187,14,1.935986
27.172524,12,1.939794
27.444472,13,1.943868
28.737314,14,2.000662
30.181226,16,2.005965
27.103216,11,2.009657
27.737444,12,2.014319
26.655595,10,2.01764
26.131238,9,2.022507
28.220874,13,2.027347
26.202848,9,2.030364
28.212644,13,2.035003
26.68329,10,2.038282
28.063427,12,2.044314
27.85159,13,2.099518
26.354729,10,2.103137
29.424872,15,2.10811
29.023107,14,2.113029
28.050735,12,2.117259
27.638038,12,2.12115
26.719541,10,2.124351
26.249607,9,2.127155
27.705449,12,2.131809
27.177041,11,2.139707
26.290853,10,2.142913
27.822416,12,2.198002
27.597799,12,2.20191
26.66303,10,2.204693
28.327416,13,2.208333
27.126623,11,2.211348
27.310645,12,2.214666
26.930098,10,2.2174
29.34739,14,2.221254
28.141764,12,2.224769
28.981399,14,2.229013
29.120186,14,2.233234
27.171615,11,2.28205
27.427876,11,2.285118
28.182775,13,2.288707
27.233647,11,2.291724
28.306169,12,2.295184
27.402536,11,2.298164
29.100845,14,2.301961
28.354459,14,2.306226
26.138782,9,2.308748
28.503213,14,2.312645
29.798283,15,2.360375
27.39297,11,2.363644
29.179311,15,2.367925
27.743343,12,2.371256
26.630236,10,2.373975
26.202736,9,2.376382
27.004641,11,2.379379
27.208957,11,2.382441
27.855443,12,2.386241
27.898793,11,2.389314
26.948563,11,2.392388
26.134916,9,2.394853
26.948993,11,2.441211
27.705653,12,2.444568
27.28097,11,2.447723
27.430316,11,2.45107
26.674351,10,2.453878
26.193132,9,2.456692
27.494879,11,2.459854
28.747659,13,2.463631
27.418752,11,2.466949
27.155133,11,2.470106
26.762047,10,2.472819
27.500031,12,2.476062
26.738828,11,2.520105
27.884231,12,2.523165
28.468505,13,2.526374
28.745297,14,2.529828
27.043413,11,2.532752
27.67477,12,2.536071
29.908358,16,2.540034
28.122629,13,2.543205
26.73076,10,2.545629
29.566262,15,2.549265
31.678385,19,2.593243
31.429456,18,2.597775
28.65196,13,2.600934
27.704727,11,2.603575
31.881331,21,2.609005
28.823638,14,2.612732
29.268913,14,2.616247
27.036564,11,2.618937
30.691581,18,2.663122
28.622095,14,2.666718
32.094666,23,2.672888
37.366402,29,2.681365
27.517286,12,2.684542
29.487436,15,2.688264
31.00988,18,2.692906
29.327079,15,2.735847
29.643088,15,2.739762
29.942126,16,2.744966
29.246474,15,2.748891
31.078848,19,2.753514
30.460871,17,2.757628
31.680113,20,2.762413
29.576359,15,2.766342
29.042853,14,2.809329
30.941341,18,2.813838
31.416709,18,2.818436
31.767097,19,2.823062
30.330164,17,2.827288
32.450359,20,2.832194
28.746962,14,2.835545
34.834237,26,2.880453
35.100024,25,2.886909
35.09413,22,2.892501
33.917168,23,2.898366
31.668507,20,2.903194
31.842355,21,2.908824
32.052272,20,2.959483
39.640446,34,2.969749
29.274559,14,2.973847
30.155527,16,2.978303
39.514253,33,2.987777
29.02688,13,2.991368
42.097096,40,3.047207
29.80325,16,3.052168
31.16598,20,3.057792
30.332497,16,3.062224
36.334753,26,3.06953
37.995502,30,3.126602
30.757061,18,3.132751
35.926058,26,3.141089
42.475845,36,3.151614
37.27876,27,3.159092
36.874161,27,3.212681
31.682238,20,3.21987
39.266429,32,3.23121
36.219658,25,3.239794
35.240437,24,3.247721
36.953937,30,3.3191
37.915658,30,3.330262
34.738793,25,3.3405
35.096491,24,3.350187
29.631357,15,3.356071
37.830094,33,3.436467
42.117548,38,3.451326
43.918602,39,3.466249
36.283499,27,3.539175
35.459348,23,3.548178
31.945978,20,3.555914
37.102991,26,3.565416
39.145738,34,3.577873
33.479406,20,3.58505
30.003658,16,3.647604
39.222546,35,3.659016
29.203686,16,3.664055
41.863732,35,3.675017
31.783046,21,3.681589
35.468993,28,3.741009
45.760674,42,3.755399
37.907783,32,3.7657
33.56505,21,3.772348
39.146461,34,3.852536
32.737022,23,3.861167
42.806594,39,3.876618
36.319035,29,3.888041
38.382705,32,3.953075
42.554259,43,3.96659
36.433889,28,3.975201
41.193697,39,3.988052
34.972942,26,4.047926
49.608182,60,4.067851
40.806099,37,4.079722
52.194085,57,4.153845
30.973713,18,4.159789
44.735971,44,4.175327
40.906392,34,4.241536
37.308869,30,4.255161
49.978616,60,4.278035
44.190902,44,4.352386
50.897586,60,4.374304
52.567658,60,4.457167
46.534126,44,4.473926
33.053787,20,4.4812
50.195683,60,4.563997
50.624707,60,4.586853
48.683083,60,4.65827
48.049468,60,4.679309
50.287969,60,4.699403
51.48477,60,4.773975
43.532922,60,4.79793
50.728907,60,4.91885
49.020095,60,4.952399
45.715024,60,5.053961
47.383395,60,5.078531
35.396235,28,5.146608
48.66284,60,5.167876
39.776999,32,5.178151
37.016466,27,5.187448
49.510669,60,5.262511
42.570052,39,5.27758
38.903526,29,5.287172
47.437609,60,5.36349
41.692763,39,5.376219
37.12145,26,5.384421
44.868213,60,5.457349
47.915965,60,5.479273
47.979441,60,5.558101
49.274605,54,5.577188
50.082202,60,5.653738
50.567919,53,5.673598
51.746206,57,5.744323
48.564942,60,5.764697
51.010389,60,5.837729
40.710672,36,5.851778
49.399993,60,5.872653
43.103377,40,5.940346
43.045504,41,5.956962
51.875122,60,5.978586
51.391411,60,6.048997
45.227551,43,6.063253
51.100022,60,6.131999
46.129328,41,6.143486
49.598852,60,6.160076
54.121995,60,6.219464
49.463169,60,6.237408
38.705033,28,6.288377
47.095801,60,6.305351
53.909546,60,6.36018
48.169814,60,6.375952
51.117337,60,6.391686
49.913308,60,6.44952
53.771837,60,6.465283
47.346469,60,6.519898
48.771396,60,6.535974
48.313969,60,6.590371
47.586538,60,6.605111
51.177022,60,6.658856
48.488753,60,6.674118
47.713845,60,6.72903
45.647995,60,6.744024
46.145699,60,6.797338
45.890066,60,6.811538
55.495627,60,6.865396
46.409017,60,6.879561
50.410677,60,6.894933
48.16762,60,6.952984
46.781602,60,6.97027
48.452214,60,7.034043
44.100997,60,7.054225
46.137674,60,7.124763
45.786382,60,7.146053
55.183827,60,7.248141
46.312519,60,7.278368
46.861598,60,7.391093
51.55465,60,7.423146
49.311746,60,7.516478
48.618703,60,7.541144
55.488909,60,7.629682
53.389337,60,7.651115
50.562694,60,7.726128
55.503031,60,7.747999
57.62533,60,7.770105
59.905309,60,7.857338
54.589202,60,7.882486
44.968633,35,7.955513
58.762624,55,7.975442
51.627051,45,7.992321
59.322296,55,8.069831
58.554292,55,8.092637
61.909696,59,8.171452
59.466179,60,8.193776
45.739645,37,8.258927
46.947049,38,8.27236
38.518369,26,8.282075
37.653721,25,8.290036
33.376049,19,8.296073
32.364984,17,8.351518
27.721235,11,8.355293
29.825351,14,8.359724
33.064149,18,8.366046
33.065145,18,8.371927
29.101211,13,8.376053
37.290172,24,8.383661
38.549547,26,8.391686
32.959332,19,8.447344
33.08949,18,8.454135
35.214571,21,8.460721
30.102778,14,8.465461
33.390569,19,8.472125
39.406737,27,8.480885
31.278495,16,8.544481
32.969298,18,8.553225
