#{"t_start": 1771443157.536812, "env_id": "None"}
r,l,t
46.987614,52,1.169316
36.142835,30,1.185573
53.033675,58,1.219542
50.855943,57,1.256209
50.644756,60,1.286341
41.593298,42,1.310862
37.535965,34,1.33123
47.047423,60,1.366009
44.22134,60,1.400845
36.403738,30,1.421042
48.963239,53,1.46452
43.694225,42,1.487502
43.625184,44,1.510831
45.874709,60,1.545844
45.878526,45,1.567664
45.328282,45,1.593622
40.96092,46,1.625033
39.911688,37,1.644266
44.646808,60,1.671531
44.820913,45,1.695666
67.231778,60,1.724718
51.335067,58,1.752124
39.563384,37,1.774788
45.619338,60,1.810443
46.388718,52,1.84773
41.812827,42,1.870267
46.59802,60,1.904408
51.231505,60,1.932748
44.629685,46,1.952911
51.486081,59,1.978981
43.541787,60,2.001888
44.770033,47,2.024432
48.105992,51,2.045924
37.715818,32,2.059528
47.542551,53,2.085575
51.586197,56,2.116197
46.580408,52,2.145106
44.308499,60,2.178437
36.691367,33,2.196388
37.76264,33,2.214126
37.504464,33,2.233368
38.401623,33,2.249559
