#{"t_start": 1771443445.712945, "env_id": "None"}
r,l,t
40.404711,40,1.149904
44.10657,45,1.167632
43.932934,60,1.189994
51.113473,59,1.211789
49.081907,51,1.229532
48.742347,60,1.254013
47.428757,55,1.274432
44.662711,47,1.291047
48.107696,51,1.308773
47.358414,51,1.331289
48.767716,50,1.349028
46.693168,47,1.364897
40.719462,42,1.379687
48.084683,56,1.400813
48.366706,59,1.420513
67.219712,60,1.441419
34.804477,28,1.451842
46.191954,47,1.468156
39.257238,36,1.480791
46.883874,60,1.501321
31.714402,21,1.507885
48.960576,54,1.526532
47.113228,60,1.549941
39.10558,38,1.562303
51.90394,56,1.582315
44.548524,43,1.596765
42.41866,60,1.617757
42.692741,41,1.632778
41.598406,41,1.645983
36.144015,60,1.667953
48.562625,60,1.688403
38.129047,60,1.708173
40.085515,38,1.721781
38.202943,32,1.73387
40.46532,39,1.750516
51.459664,56,1.770027
44.458891,44,1.785509
45.092929,47,1.801673
34.609592,24,1.809028
47.377787,60,1.830193
49.328764,60,1.851877
35.814434,30,1.861669
